age,income,home_ownership,emplyment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,loan_approval_status,max_allowed_loan
20.0,127000,MORTGAGE,2,DEBTCONSOLIDATION,24250,15.31,0.19,N,4,1,24250
20.0,95950,RENT,2,EDUCATION,28250,14.54,0.27,N,4,1,28250
20.0,59000,RENT,1,PERSONAL,16800,12.42,0.29,N,2,1,16800
21.0,30000,RENT,5,HOMEIMPROVEMENT,6500,14.27,0.22,N,4,1,6500
21.0,31000,RENT,5,EDUCATION,10000,11.49,0.32,N,2,1,10000
21.0,30000,RENT,0,DEBTCONSOLIDATION,8500,19.04,0.27,Y,2,1,8500
21.0,37000,RENT,2,MEDICAL,14000,12.61,0.38,N,3,1,14000
21.0,30000,MORTGAGE,2,MEDICAL,5000,15.7,0.17,N,3,1,5000
21.0,15600,RENT,0,DEBTCONSOLIDATION,5000,10.99,0.32,N,3,1,5000
21.0,33996,RENT,5,MEDICAL,15000,14.96,0.44,N,2,1,15000
21.0,28000,MORTGAGE,5,DEBTCONSOLIDATION,6000,15.62,0.21,Y,2,1,6000
21.0,36588,RENT,5,DEBTCONSOLIDATION,1000,14.61,0.03,Y,4,1,1000
21.0,34800,RENT,0,VENTURE,9600,17.27,0.28,Y,3,1,9600
21.0,44000,RENT,4,DEBTCONSOLIDATION,12000,12.86,0.27,N,4,1,12000
21.0,29000,RENT,2,PERSONAL,6000,15.62,0.21,N,2,1,6000
21.0,90000,RENT,5,HOMEIMPROVEMENT,7200,12.69,0.08,N,2,1,7200
21.0,30000,RENT,5,EDUCATION,13250,11.49,0.44,N,2,1,13250
21.0,34000,MORTGAGE,3,HOMEIMPROVEMENT,12000,13.79,0.36,N,2,1,12000
21.0,24000,OWN,0,HOMEIMPROVEMENT,6100,13.35,0.26,Y,2,1,6100
21.0,52000,RENT,2,PERSONAL,18500,15.33,0.36,N,4,1,18500
21.0,38004,RENT,5,EDUCATION,3000,10.75,0.08,N,2,1,3000
21.0,34000,MORTGAGE,5,HOMEIMPROVEMENT,6000,12.69,0.18,N,2,1,6000
21.0,59000,RENT,5,HOMEIMPROVEMENT,6000,11.89,0.1,N,2,1,6000
21.0,70553,RENT,5,VENTURE,10000,13.49,0.14,N,4,1,10000
21.0,30000,RENT,1,EDUCATION,12000,12.53,0.4,Y,4,1,12000
21.0,67000,RENT,5,MEDICAL,25000,10.25,0.37,N,2,1,25000
